Ambient Temperature(C): 26.1
Ambient Pressure(in Hg): 30.06
30.06
Time(s)	T1(Deg C)	T2(Deg C)	P1(PSI)	P2(PSI)	Mass Flowrate(g/min)

0.00	26.60	25.30	0.00	0.50	0.00
0.10	26.60	25.30	0.20	1.30	0.00
0.20	26.70	25.30	-0.30	0.80	0.00
0.30	26.70	25.40	0.00	0.70	0.00
0.40	26.70	25.40	0.40	0.80	0.00
0.50	26.80	25.50	0.20	0.50	0.00
0.60	26.60	25.30	-0.30	0.70	0.00
0.70	26.60	25.30	0.20	0.80	0.00
0.80	26.70	25.40	0.40	0.80	0.00
0.90	26.60	25.20	0.40	0.80	0.00
1.00	26.60	25.20	0.50	1.10	0.00
1.10	26.60	25.30	-0.30	0.80	0.00
1.20	26.70	25.20	-0.30	1.00	0.00
1.30	26.70	25.40	0.00	0.50	0.00
1.40	26.70	25.40	0.40	0.40	0.00
1.50	26.70	25.40	0.00	1.10	0.00
1.60	26.70	25.40	0.40	1.00	0.00
1.70	26.60	25.30	0.70	0.70	0.00
1.80	26.60	25.40	0.70	0.70	0.00
1.90	26.60	25.40	0.40	0.70	0.00
2.00	26.60	25.40	-0.10	0.80	0.00
2.10	26.60	25.30	0.40	0.50	0.00
2.20	26.70	25.30	-0.10	0.50	0.00
2.30	26.70	25.30	0.20	1.10	0.00
2.40	26.60	25.40	-0.10	0.80	0.00
2.50	26.80	25.40	-0.40	0.70	0.00
2.60	26.80	25.40	0.00	-0.10	0.00
2.70	26.70	25.40	0.00	-0.10	0.00
2.80	26.60	25.30	0.50	0.50	0.00
2.90	26.60	25.30	0.20	0.80	0.00
3.00	26.50	25.30	0.00	0.80	0.00
3.10	26.60	25.40	-0.10	0.80	0.00
3.20	26.60	25.40	1.40	0.50	0.00
3.30	26.70	25.40	0.00	0.80	0.00
3.40	26.70	25.40	0.50	1.00	0.00
3.50	26.70	25.40	0.20	1.00	0.00
3.60	26.70	25.30	0.20	1.00	0.00
3.70	26.60	25.30	0.40	1.30	0.00
3.80	26.60	25.30	0.20	1.00	0.00
3.90	26.70	25.40	0.50	1.00	0.00
4.00	26.70	25.30	0.50	0.50	0.00
4.10	26.70	25.30	0.00	0.50	0.00
4.20	26.80	25.30	0.00	1.00	0.00
4.30	26.50	25.30	-0.10	1.00	0.00
4.40	26.50	25.20	0.70	1.10	0.00
4.50	26.50	25.20	0.70	1.10	0.00
4.60	26.70	25.30	0.70	0.70	0.00
4.70	26.70	25.40	0.20	0.40	0.00
4.80	26.70	25.40	0.00	0.70	0.00
4.90	26.60	25.30	0.20	0.80	0.00
5.00	26.60	25.40	0.00	0.50	0.00
5.10	26.60	25.40	-0.10	0.50	0.00
5.20	26.80	25.50	0.00	1.30	0.00
5.30	26.60	25.40	-0.10	0.70	0.00
5.40	26.60	25.40	-0.10	0.70	0.00
5.50	26.50	25.40	0.00	0.80	0.00
5.60	26.60	25.30	0.00	0.80	0.00
5.70	26.60	25.30	-0.10	0.70	0.00
5.80	26.70	25.30	-0.30	0.80	0.00
5.90	26.70	25.30	0.50	0.70	0.00
6.00	26.70	25.40	0.20	0.50	0.00
6.10	26.60	25.40	-0.10	0.80	0.00
6.20	26.60	25.40	0.70	0.40	0.00
6.30	26.70	25.40	0.70	0.40	0.00
6.40	26.70	25.40	0.40	0.40	0.00
6.50	26.70	25.40	0.00	1.00	0.00
6.60	26.50	25.30	-0.10	0.70	0.00
6.70	26.50	25.30	0.50	0.50	0.00
6.80	26.70	25.40	0.40	0.50	0.00
6.90	26.60	25.30	0.00	0.80	0.00
7.00	26.60	25.30	0.40	0.50	0.00
7.10	26.60	25.30	0.50	1.00	0.00
7.20	26.60	25.30	0.50	1.00	0.00
7.30	26.60	25.40	0.20	0.70	0.00
7.40	26.70	25.30	0.00	1.10	0.00
7.50	26.70	25.30	-0.30	0.70	0.00
7.60	26.70	25.50	-0.10	0.70	0.00
7.70	26.60	25.30	0.40	1.00	0.00
7.80	26.60	25.30	0.40	0.20	0.00
7.90	26.60	25.30	-0.10	0.70	0.00
8.00	26.60	25.40	-0.10	0.80	0.00
8.10	26.60	25.40	-0.10	0.80	0.00
8.20	26.60	25.30	-1.30	1.00	0.00
8.30	26.70	25.30	-0.10	0.70	0.00
8.40	26.70	25.30	0.50	1.00	0.00
8.50	26.70	25.30	-0.10	0.80	0.00
8.60	26.70	25.30	-0.70	1.10	0.00
8.70	26.60	25.40	0.00	0.40	0.00
8.80	26.70	25.30	0.50	0.80	0.00
8.90	26.60	25.30	0.00	0.80	0.00
9.00	26.60	25.30	0.00	0.80	0.00
9.10	26.50	25.30	0.20	0.80	0.00
9.20	26.50	25.30	-0.30	0.80	0.00
9.30	26.70	25.40	-0.40	0.50	0.00
9.40	26.60	25.20	0.00	1.00	0.00
9.50	26.60	25.20	-0.10	1.40	0.00
9.60	26.70	25.30	0.00	0.50	0.00
9.70	26.70	25.40	0.40	0.70	0.00
9.80	26.70	25.40	0.70	0.80	0.00
9.90	26.70	25.40	0.70	0.80	0.00
10.00	26.60	25.40	-0.10	0.50	0.00
10.10	26.60	25.40	0.00	1.00	0.00
10.20	26.60	25.20	0.40	1.00	0.00
10.30	26.60	25.20	0.40	0.80	0.00
10.40	26.60	25.20	0.20	0.50	0.00
10.50	26.60	25.40	0.00	0.70	0.00
10.60	26.70	25.30	0.40	0.80	0.00
10.70	26.70	25.30	0.20	0.80	0.00
10.80	26.70	25.40	0.20	0.80	0.00
10.90	26.60	25.30	0.50	0.80	0.00
11.00	26.60	25.30	0.00	0.70	0.00
11.10	26.70	25.30	0.00	1.10	0.00
11.20	26.70	25.30	0.20	0.80	0.00
11.30	26.70	25.30	0.00	0.50	0.00
11.40	26.60	25.30	-1.00	0.70	0.00
11.50	26.70	25.30	0.00	1.00	0.00
11.60	26.70	25.30	0.40	0.80	0.00
11.70	26.70	25.40	0.40	0.80	0.00
11.80	26.60	25.30	0.20	0.70	0.00
11.90	26.60	25.30	0.80	0.80	0.00
12.00	26.70	25.40	0.40	0.80	0.00
12.10	26.70	25.40	0.20	0.40	0.00
12.20	26.70	25.40	-0.10	0.80	0.00
12.30	26.50	25.40	0.00	0.80	0.00
12.40	26.60	25.40	0.40	0.50	0.00
12.50	26.60	25.40	0.00	1.10	0.00
12.60	26.70	25.40	0.00	1.10	0.00
12.70	26.50	25.30	0.40	0.00	0.00
12.80	26.50	25.30	0.40	0.40	0.00
12.90	26.70	25.40	0.00	0.80	0.00
13.00	26.70	25.40	0.00	0.70	0.00
13.10	26.70	25.40	0.20	0.40	0.00
13.20	26.60	25.40	-0.10	0.80	0.00
13.30	26.70	25.50	0.50	0.50	0.00
13.40	26.70	25.40	0.50	0.50	0.00
13.50	26.70	25.40	0.40	0.70	0.00
13.60	26.70	25.40	0.20	1.10	0.00
13.70	26.70	25.20	0.50	0.70	0.00
13.80	26.70	25.20	0.40	0.70	0.00
13.90	26.60	25.30	0.40	0.70	0.00
14.00	26.60	25.40	-0.10	0.50	0.00
14.10	26.60	25.40	0.20	1.10	0.00
14.20	26.70	25.40	1.10	0.40	0.00
14.30	26.70	25.40	1.10	0.40	0.00
14.40	26.70	25.40	0.20	0.80	0.00
14.50	26.70	25.40	-0.10	0.50	0.00
14.60	26.60	25.40	0.00	0.50	0.00
14.70	26.60	25.40	0.20	0.50	0.00
14.80	26.60	25.40	0.40	0.80	0.00
14.90	26.60	25.30	0.40	0.40	0.00
15.00	26.60	25.30	-0.10	0.80	0.00
15.10	26.70	25.40	0.20	1.00	0.00
15.20	26.70	25.30	0.20	1.00	0.00
15.30	26.70	25.30	0.20	1.00	0.00
15.40	26.80	25.50	0.00	0.50	0.00
15.50	26.80	25.50	0.20	0.70	0.00
15.60	26.70	25.30	0.20	0.50	0.00
15.70	26.70	25.40	0.40	1.00	0.00
15.80	26.70	25.40	0.40	0.70	0.00
15.90	26.70	25.50	0.20	-0.10	0.00
16.00	26.70	25.40	0.20	1.30	0.00
16.10	26.70	25.40	0.40	0.50	0.00
16.20	26.70	25.30	0.20	0.80	0.00
16.30	26.60	25.50	0.40	1.00	0.00
16.40	26.60	25.50	-0.10	0.70	0.00
16.50	26.60	25.40	0.20	0.70	0.00
16.60	26.50	25.30	0.50	0.70	0.00
16.70	26.50	25.30	0.40	1.10	0.00
16.80	26.70	25.40	0.70	1.00	0.00
16.90	26.50	25.30	-0.10	1.10	0.00
