Trial,c_v_J_per_kg_K,c_v_u_J_per_kg_K,Q_in_J,Q_loss_W,dt_s,T_delta_K,m_total_kg
a,82149.16616067874,12322.37492410181,24500.0,95.47384742729712,24.0,4.300000000000001,0.06287096232402789
b,63246.284027466645,9486.942604119997,20600.0,119.40050586286927,24.0,3.3999999999999986,0.08247119193497711
c,79658.99180435757,11948.848770653636,47400.0,210.07906170212902,24.0,8.600000000000001,0.06183056860846609
d,64259.530397803974,9638.929559670596,47600.0,240.40637493096585,24.0,8.200000000000003,0.07938510603436844
