Trial,Q_total_W,Q_total_u_W,Q_acrylic_W,Q_acrylic_u_W,Q_plates_W,Q_plates_u_W,T_gas_ss_C
a,95.47384742729712,0.7003215884824094,13.89478763538119,1.1322789906865487,81.57905979191592,1.3313549639538942,39.99651972157773
b,119.40050586286927,0.9860147442656108,13.473838341153863,1.098323679564516,105.9266675217154,1.4759877983917467,39.9768152866242
c,210.07906170212902,0.23158132129144704,32.02458868182903,2.5990749971398186,178.0544730203,2.6093717153997895,59.17206572769954
d,240.40637493096585,0.18216100645852826,28.559523548803178,2.3184195912685617,211.84685138216267,2.325564884807962,59.28501199040767
