Trial,P2_W,P2_u_W,dT_dt_K_per_s,dT_dt_u_K_per_s,T2_measured_C,m_total_kg,c_v_used_J_per_kg_K
a,0.7432225913621262,0.07432225913621263,0.0001439016039861895,0.00013808230696304045,39.99651972157773,0.06287096232402789,82149.16616067874
b,0.7432225913621262,0.07432225913621263,0.00014248909128867064,0.00010463931680845107,39.9768152866242,0.08247119193497711,63246.284027466645
c,0.7432225913621262,0.07432225913621263,0.00015089708711160454,0.00014720504782954574,59.17206572769954,0.06183056860846609,79658.99180435757
d,0.7432225913621262,0.07432225913621263,0.0001456942209527964,0.00011107669224008338,59.28501199040767,0.07938510603436844,64259.530397803974
